순번,용어,용어설명
334,전력풀,특정지역내에 있어서 연계되어 운전되는 복수의 전력계통.
335,전력품질,"전력 계통의 일정한 지점에서의 전력의 질적 상태를 의미하며, 규정된 전압과 주파수 그리고 제정된 파형과 대칭성을 기준으로 함"
336,전력품질모니터링,"수용가 지역에 설치하여 순간정전, 순간전압강하, 순간전압상승, 불평형 등의 주요 품질요소를 모니터링하는 것(또는 시스템)"
337,전력퓨즈,"1. 고압 회로에 사용되는 퓨즈. 차단시에 발생하는 아크를 소호하기 위한 구조를 가지고 있으며 방출 퓨즈나 한류 퓨즈 등이 있다. 전자는 카트리 지에 개구부가 있고, 차단기의 아크가 이 개구부에서 방출된다. 가용편이 스프링으로 당겨지며, 용단시 끊어지게 된다. 후자는 가는 은선을 석영 입 자 속에 매립하여 아크 에너지를 이것으로 흡수 냉각하여 소호하는 것이다. 2. 대전류(약간의 고장전류)를 차단하는 것으로, 차단기와 보호계전기의 기능을 합한 것."
338,전력조류,"전선로, 변압기 등의 전력계통 구성요소에 유입 또는 유출되는 유효전력과 무효전력의 흐름."
339,전력조류도,"발전계통의 구성, 발변전소 및 송전선의 전력조류, 전압 등을 도시한 것."
340,전력프로젝트,전력산업에 관계된 사업. 과제라고도 함.
341,전류,"전하가 도선을 따라 이동하는 것. 전류의 정의는 도선의 한 단면을 단위시간동안에 통과한 전하량, 즉 이다."
342,전류(電流)," 전하(電荷)의 흐름으로, 암페어(A)의 단위가 사용된다. <br> The flow of electric charge. The preferred unit is the Ampere (A). IEEE Std 100-1996"
343,전류(電流)프로브," 도체를 손상시키지 않고 관련 회로에 부하효과를 유발시키지 않으면서 도체내의 전류를 측정하는 기구. <br> A device for measuring the current in a conductor without  interrupting the conductor and without introducing significant impedance into the associated circuits. IEV 161-04-35, ANSI C63.14-1992 <br>       "
344,전류(전압)특성,"계전기의 입력전류(전압)가 응동에 미치는 영향을 말한다. 단, 전기량 상호간의 관계를 비율로 표시할 수 있는 경우에는 비율특성이라고 부르기도 한 다.계전기 동작 용어"
345,전류밀도(電流密度)," 단위 면적당 전하 흐름의 크기와 방향을 나타내는 벡터 함수로서, A/m <SUP>2</SUP>  의 단위가 사용된다. <br> A vector-point function describing the magnitude and direction of charge flow per unit area. The preferred unit is A/m <SUP>2</SUP> . IEEE Std 100-1996"
346,전류밀도(電流密度)," 도전성 매질 내의 단위 단면적을 통과하는 전류 또는 전하의 흐름. 단위는 [A m <SUP>-2</SUP> ].<br> &#41225; electric current density : 전류밀도<br> The electric current or flow of electric charge through a conducting medium, such as tissue, per unit cross-sectional area. Unit ampere per square metre, symbol A m <SUP>-2</SUP> . <br><a href=""javascript:window.open('http://www.nrpb.org.uk/Advice/Glossary/Glossary.htm','LINK','scrollbars=yes,resizables=yes,menubar=yes,width=600,height=480,top=100,left=200');"">http://www.nrpb.org.uk/Advice/Glossary/Glossary.htm</a>"
347,전류비율차동계전기,보호구간에 유입하는 전류와 유출하는 전류간의 차이가 총 입력전류에 대하여 일정비율 이상으로 되었을때 동작하는 계전기.
348,전류-전압특성,1. 계전기의 입력전류가 응동에 미치는 영향. 단 전기량 상호간의 관계를 비율로 표시할 수 있는 경우에는 비율특성이라고 할 때도 있다. 2. 전압과 전류의 관계를 나타내는 특성.
349,전류제한계전기,전류량을 제한하기 위한 계전기.
350,전류제한기,"일정의 전류치를 넘을 때 회로를 차단하는 장치. Breaker 또는 NFB(No Fuse Breaker)라고도 하며, 종래의 ‘두꺼비집 역할을 함"
351,"유전파괴(誘電破壞), 절연파괴(絶緣破壞)"," 절연체에 가하는 전압을 차츰 증가시켜 가면 어떤 값 이상의 고전압에서 갑자기 도전성이 증가하는 현상으로, 절연파괴를 일으키는데 필요한 최소 전압을 절연파괴 전압이라고 한다."
352,유지보수관리시스템,"설비에 대한 유지보수 관리시스템을 말하며, 송변전·배전설비의 유지보수 최적화 및 경제화를 위해 설비의 상태, 이력관리 등을 수행하는 시스템을 말함"
353,유체충전이음매,전력 케이블 접속의 한 종류. 접속 외장이 동작 온도의 범위에서 유체인 절연 물질로 차 있다.
354,유통설비,"발생된 전력을 수송하고 배분하기 위한 설비. 송전선, 변전소 및 배전선 등을 말한다."
355,유효낙차,수차에 실제 작용하는 낙차. 수차입구의 압력계 높이에 상당한 표고와 방수위 또는 평균 표고와의 차.
356,유효수력발전 가능전력량,일정기간(보통 1년) 어떤 지역에서 양수발전 없이 실제로 얻을 수 있는 전기에너지.
357,유효수심,저수지 및 조정지에서 이용 가능한 최고수위와 최저수위의 차.
358,유효에너지,마지막 에너지 전환 후 소비자가 유용하게 이용할 수 있도록 만들어진 에너지.
359,유효유입량,보상용 물과 피치 못할 손실을 뺀 후에 얻은 유입량. 이것이 발전용수이다.
360,유효저수량,유효수심에 상당하는 저수량.
361,유효저수용량,최고 수위와 최저 수위간에 담을 수 있는 물의 용량.
362,유효전력,"전력(Electric Power)이란 전류가 1초 동안에 하는 일. 즉,Watt=Joule/sec 임. 일반적으로 교류에서는 단위 시간에 機 器나 장치에서 발생 또는 소비되는 전기에너지를 말함. 유효전력이란 실제 유효하게 일을 하는 전력. 즉, 전등을 켜거나 모터를 돌리는 등 전 원에서 공급되어 부하에 실제 소비되는 전력을 말함 * P=VI cosψ〔kW〕,〔W〕"
363,유효전력계전기,"전력의 유효성분(V I cos φ, V:전압 I:전류 φ:역률각)의 크기에 응답하여 동작하는 계전기. 전력의 무효분에 대한 측정은 이루어지지 않 는다."
364,유효전업과장,과도현상이 정상상태에서의 측정치보다 초과한 시간동안 과도전압곡선이 표시한 범위.
365,유효접지,접지계수가 80%를 초과하지 않는 접지계통을 말한다.이 조건은 1선지락 고장시에 어느점에서든 영상저항과 정상리액터스의 比가 0과 ＋1사이에 있 고 영상리액턴스와 정상리액턴스의 比가 0과 ＋3사이에 있을 때 이루어진다.
366,유효접지방식,전력계통에서 일선지락고장시의 건전상전압이 상규대지전압의 1.3배를 넘지 않는 계통.
367,육상이동국(陸上移動局), 한 국가 또는 대륙의 지리적 경계내에서 지표면상의 이동이 가능한 육상이동업무의 이동국.<br> A mobile station in the land mobile service capable of surface movement within the geographical limits of a country or continent. RRS1.73
368,육상이동지구국(陸上移動地球局), 한 국가 또는 대륙의 지리적 경계내에서 지표면상의 이동이 가능한 육상이동위성업무의 이동지구국.<br> A mobile earth station it the land mobile-satellite service capable of wurface movement within the geographical limits of a country or continent. RRS1.74
369,육상지구국(陸上地球局)," 이동위성업무의 피더링크를 제공하기 위하여 육상의 특정 고정지점, 또는 측정지역 내에 위치하여 고정위성업무 또는 경우에 따라서 이동위성업무를 행하는 지구국.<br> An earth station in the fixed-satellite service or, in some cases, in the mobile-satellite service, located at a specified fixed point or within a specified area on land to provide a feeder link for the mobile-satellite service. RRS1.70"
370,육상풍력단지,육상에 설치된 풍력단지
371,융통전력량,어떤 회사의 계통과 다른 회사의 계통과의 사이에 수전 또는 송전되는 전력. 융통전력량(interchange energy)은 총수전량과 총송전량으 로 나뉜다.
372,융합부족,용접금속이 모재금속과 완전히 융합되지 못한 관상결함으로 필름 상에 길이와 폭이 불규칙한 연속된 어두운 선으로 나타난 것
373,은촉홈,다른 부재의 측면과 맞도록 부재의 측면에 판홈
374,음향투과급,"재료나 조립체의 음향투과에 저항하는 성능의 수량적 측정. 높은 STC값을 가지며, 음향투과 저항성능이 크다."
375,응결경화촉진제,시멘트와 물과의 화학반응을 촉진시켜 조기강도를 증대시키는 것으로 급결제 또는 급경제라고도 한다.
376,응결지연제,시멘트와 물과의 화학반응을 늦어지게 하는 것으로 응결을 지연시키는 것
377,자류식발전,하천의 자연유량을 인공적으로 아무런 조절을 가하지 않고 그대로 발전에 이용하는 설비.
378,자류식발전소,"매일 하천유량에 의해 발전량이 변동하고, 계절별 출력의 조정이 불가능한 수력발전소."
379,자립운전,전력계통과 분리된 상황에서 분산형전원이 수용가 구내부하의 일부 또는 전체를 감당하여 부하추종형태로 운전하는 상태를 말함.
380,자립전원방식,"필요한 직류, 교류 전력을 공급하기 위한 장치. 그 때문에 에너지원을 자장하고 있고, 상용 전원과는 관계가 없다."
381,자발적 푸울,"발전회사와 수용가간에 쌍방계약을 허용하여 전력거래의 자율성을 보장하는 형태의 푸울 *자발적푸울은 개별계약을 허용하고, 강제적푸울은 이를 허용하 지 않는다는 차이점이 있음."
382,자속,균일한 자기장내에서 단면 S를 수직으로 관통하는 자기력의 양을 자속이라 함. Φ=BS
383,자식 리크로져,전주상에 시설되어 변전소 차단기와 보호협조하여 부하측 고장시 고장전류 차단 및 재폐로 동작으로 전 배전선로의 고장파급을 방지하는 기능과 배전자동 화 기능을 수행할 수 있는 리크로져를 말하며 부하측 자동화개폐기 동작시 돌입전류에 의한 오동작 방지 기능 등을 가지고 있음.
384,자연순환보일러,"온도에 따른 밀도차이로 인하여 물이 대류하는 현상을 이용한 보일러. 즉, 고온 상태의 물이 상부에 위치하게 되므로, 이 상부의 물을 이용하게 된다. 또한 자연순환이므로 특별한 제어장치가 불필요하게 된다."
385,자외선(紫外線)," 가장 긴 파장이 가시광 스펙트럼 바로 아래에 있는 전자파 스펙트럼의 한 부분으로, 약 4 nm에서 약 400 nm 까지의 범위이다. 주 : 어떤 기관에서는 자외선의 아래쪽 한계를 1 nm 와 40 nm 사이의 값으로 두고 있다. 1 nm 는 x-ray 파장의 상한이며, 400 nm 는 가시광 파장의 하한으로 즉, 가장 높은 가시광 주파수가 보라색이다.<br> The portion of the electromagnetic spectrum in which the longest wavelength is just below the visible spectrum, extending from approximately 4 nm to approximately 400 nm. Note : Some authorities place the lower limit of uv at values between 1 and 40 nm, 1 nm being the upper wavelength limit of x-rays. The 400-nm limit is the lowest visible wavelength, i.e., the highest visible frequency, violet.<br><a href=""javascript:window.open('http://www.its.bldrdoc.gov/fs-1037/','LINK','scrollbars=yes,resizables=yes,menubar=yes,width=600,height=480,top=100,left=200');"">http://www.its.bldrdoc.gov/fs-1037/</a>"
